token,count,candidate_1_name,candidate_1_icd,candidate_1_matchtype,candidate_2_name,candidate_2_icd,candidate_2_matchtype,candidate_3_name,candidate_3_icd,candidate_3_matchtype,candidate_4_name,candidate_4_icd,candidate_4_matchtype,candidate_5_name,candidate_5_icd,candidate_5_matchtype,llm_suggested_cause,llm_suggested_icd,notes
Cardiac and Vasculature: Hypertensive heart disease without congestive heart failure,11,,,,,,,,,,,,,,,,,,
Other: Mild obstructive sleep apnea in adult,11,,,,,,,,,,,,,,,,,,
Other nonrheumatic mitral valve disorders,11,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: Deep vein thrombosis (DVT) of distal vein of lower extremity,11,,,,,,,,,,,,,,,,,,
Gastrointestinal and Abdominal: Gastrointestinal bleeding,10,,,,,,,,,,,,,,,,,,
ECG abnormal,10,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Screening for ischemic heart disease,10,,,,,,,,,,,,,,,,,,
Hematology and Neoplasia: Cancer of female breast,10,,,,,,,,,,,,,,,,,,
Right BBB,10,,,,,,,,,,,,,,,,,,
Deep vein thrombosis (DVT),10,,,,,,,,,,,,,,,,,,
Tobacco: Personal history of smoking,10,,,,,,,,,,,,,,,,,,
Gastrointestinal and Abdominal: Hx of adenomatous colonic polyps,9,,,,,,,,,,,,,,,,,,
Generalized edema,9,,,,,,,,,,,,,,,,,,
Lumbosacral radiculitis,9,,,,,,,,,,,,,,,,,,
Other: Refractory angina pectoris (CMS-hcc),9,,,,,,,,,,,,,,,,,,
Other: Nonrheumatic mitral (valve) annulus calcification,9,,,,,,,,,,,,,,,,,,
Family history of sudden cardiac death (SCD),9,,,,,,,,,,,,,,,,,,
Hypertensive heart disease without CHF (congestive heart failure),9,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Fall from standing,8,,,,,,,,,,,,,,,,,,
other extremity,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerosis of coronary artery bypass graft,8,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Falls,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Thoracic aortic ectasia (CMS-hcc),8,,,,,,,,,,,,,,,,,,
left ant fasc block,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Diastolic heart failure,8,,,,,,,,,,,,,,,,,,
Mild mitral valve regurgitation,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Angina pectoris,8,,,,,,,,,,,,,,,,,,
Occlusion of left carotid artery,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerotic cardiovascular disease,8,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Cardiac murmur,8,,,,,,,,,,,,,,,,,,
Multi System Lupus Sarcoid: Autoimmune disease (HHS-HCC),8,,,,,,,,,,,,,,,,,,
Coronary atherosclerosis due to calcified coronary lesion,7,,,,,,,,,,,,,,,,,,
Occlusion and stenosis of right carotid artery,7,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Pain in both lower legs,7,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary atherosclerosis of autologous vein bypass graft without angina,7,,,,,,,,,,,,,,,,,,
Aortic valve replaced,7,,,,,,,,,,,,,,,,,,
Heart valve replaced,7,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Rhabdomyolysis,7,,,,,,,,,,,,,,,,,,
Factor V Leiden mutation (HHS-HCC),7,,,,,,,,,,,,,,,,,,
chronic disease,7,,,,,,,,,,,,,,,,,,
Vertebrogenic low back pain,7,,,,,,,,,,,,,,,,,,
Eye: Mild nonproliferative diabetic retinopathy of both eyes associated with type 2 diabetes mellitus,7,2,Obesity,substring,,,,,,,,,,,,,,,
Cardiac and Vasculature: Encounter for preprocedural cardiovascular examination,7,,,,,,,,,,,,,,,,,,
Elevated Lp(a),7,,,,,,,,,,,,,,,,,,
Atrial premature beats,6,,,,,,,,,,,,,,,,,,
Genitourinary and Reproductive: Blood in urine,6,,,,,,,,,,,,,,,,,,
Abnormal findings on diagnostic imaging of heart and coronary circulation,6,,,,,,,,,,,,,,,,,,
Hematology and Neoplasia: Family history of malignant neoplasm of digestive organs,6,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Other specified peripheral vascular diseases,6,,,,,,,,,,,,,,,,,,
Arthropathy of lumbar facet joint,6,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: ASD (atrial septal defect) (HHS-HCC),6,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary atherosclerosis of artery bypass graft,6,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: Platelets decreased,6,,,,,,,,,,,,,,,,,,
O: stroke,6,,,,,,,,,,,,,,,,,,
Neuroma,6,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Pain in right lower leg,6,,,,,,,,,,,,,,,,,,
class 3 (CMS-HCC),6,,,,,,,,,,,,,,,,,,
Occlusion and stenosis of unspecified carotid artery,6,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Lumbar pain,6,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Status post insertion of drug-eluting stent into left anterior descending (LAD) artery,6,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Lower leg pain,6,,,,,,,,,,,,,,,,,,
Radiculitis,6,,,,,,,,,,,,,,,,,,
Gastrointestinal and Abdominal: Intestinal polyps,6,,,,,,,,,,,,,,,,,,
Class 3 severe obesity with serious comorbidity and body mass index (BMI) of 40.0 to 44.9 in adult (CMS-HCC),6,4,COPD,substring,9,CHF (Congestive Heart Failure),substring,,,,,,,,,,,,
Polyarthropathy,6,,,,,,,,,,,,,,,,,,
Scoliosis of lumbar spine,6,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Acquired spondylolisthesis,6,,,,,,,,,,,,,,,,,,
class 2,6,2,Obesity,substring,,,,,,,,,,,,,,,
post-operative,6,,,,,,,,,,,,,,,,,,
Congestive heart disease,6,,,,,,,,,,,,,,,,,,
Elevated blood pressure reading in office with diagnosis of hypertension,6,,,,,,,,,,,,,,,,,,
Unexplained weight loss,6,,,,,,,,,,,,,,,,,,
Genitourinary and Reproductive: SUI (stress urinary incontinence,6,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: DVT (deep vein thrombosis) in pregnancy (HHS-HCC),6,,,,,,,,,,,,,,,,,,
Family history of chronic ischemic heart disease,6,,,,,,,,,,,,,,,,,,
Mental Health: EtOH dependence,6,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary atherosclerosis of autologous vein bypass graft,6,,,,,,,,,,,,,,,,,,
History of basal cell carcinoma (BCC) of skin,5,,,,,,,,,,,,,,,,,,
Follow up,5,,,,,,,,,,,,,,,,,,
gross,5,,,,,,,,,,,,,,,,,,
Esophoria,5,,,,,,,,,,,,,,,,,,
Family history of CHF (congestive heart failure),5,,,,,,,,,,,,,,,,,,
Musculoskeletal and Injuries: Status post total replacement of left hip,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Other specified pulmonary heart diseases,5,,,,,,,,,,,,,,,,,,
Arterial ischemic stroke,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary atherosclerosis due to lipid rich plaque,5,,,,,,,,,,,,,,,,,,
Eye: Nonproliferative diabetic retinopathy,5,,,,,,,,,,,,,,,,,,
Venous insufficiency of leg,5,,,,,,,,,,,,,,,,,,
dilated,5,,,,,,,,,,,,,,,,,,
Type 2 diabetes mellitus with other diabetic kidney complication,5,2,Obesity,substring,,,,,,,,,,,,,,,
Mild recurrent major depression (CMS-hcc),5,,,,,,,,,,,,,,,,,,
Arteriosclerotic cardiovascular disease,5,,,,,,,,,,,,,,,,,,
Advance Directives and Health Issues: Risk for falls,5,,,,,,,,,,,,,,,,,,
Mitral prolapse,5,,,,,,,,,,,,,,,,,,
Other idiopathic scoliosis,5,,,,,,,,,,,,,,,,,,
Vascular calcification,5,,,,,,,,,,,,,,,,,,
Labile hypertension,5,,,,,,,,,,,,,,,,,,
Solitary lung nodule,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerotic heart disease of native coronary artery with angina pectoris,5,,,,,,,,,,,,,,,,,,
Gastrointestinal and Abdominal: Vomiting,5,,,,,,,,,,,,,,,,,,
Primary malignant neoplasm of female breast,5,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: Decreased platelet count,5,,,,,,,,,,,,,,,,,,
Cancer of female breast,5,,,,,,,,,,,,,,,,,,
Severe obesity (CMS-HCC),5,,,,,,,,,,,,,,,,,,
Genitourinary and Reproductive: Acquired absence of both cervix and uterus,5,,,,,,,,,,,,,,,,,,
ENT: TMJ (dislocation of temporomandibular joint),5,,,,,,,,,,,,,,,,,,
Pain in lower limb,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Abnormal electrocardiogram (ECG) (EKG),5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Mitral valve regurgitation,5,,,,,,,,,,,,,,,,,,
Eye: Wears eyeglasses,5,,,,,,,,,,,,,,,,,,
Infectious Disease: Septic joint,5,,,,,,,,,,,,,,,,,,
Body mass index (BMI) 32.0-32.9,5,2,Obesity,substring,32,Angina Pectoris,substring,9,CHF (Congestive Heart Failure),substring,,,,,,,,,
Coronary atherosclerosis due to lipid rich plaque,5,,,,,,,,,,,,,,,,,,
Spinal stenosis of cervical region,5,,,,,,,,,,,,,,,,,,
Status post combined aortic root and valve replacement using stentless bioprosthetic aortic valve,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Coronary artery disease involving native coronary artery,5,,,,,,,,,,,,,,,,,,
Hypertensive heart disease with combined systolic and diastolic congestive heart failure,5,,,,,,,,,,,,,,,,,,
Enthesopathy of foot,5,,,,,,,,,,,,,,,,,,
Stress at home,5,,,,,,,,,,,,,,,,,,
Elevated triglycerides with high cholesterol,5,,,,,,,,,,,,,,,,,,
Neuralgia of right sciatic nerve,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Presence of cardiac pacemaker,5,,,,,,,,,,,,,,,,,,
unspecified whether old or current tear,5,,,,,,,,,,,,,,,,,,
Body mass index 27.0-27.9,5,27,Arrhythmia,substring,2,Obesity,substring,7,Pulmonary Fibrosis,substring,9,CHF (Congestive Heart Failure),substring,,,,,,
Symptoms and Signs: Need for home health care,5,,,,,,,,,,,,,,,,,,
Pre-operative clearance,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atherosclerosis of native coronary artery of native heart with stable angina pectoris,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: New onset a-fib,5,,,,,,,,,,,,,,,,,,
Endocrine and Metabolic: Decreased testosterone level,5,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Systolic congestive heart failure,5,,,,,,,,,,,,,,,,,,
Raynaud phenomenon,4,,,,,,,,,,,,,,,,,,
Non-rheumatic mitral valve stenosis,4,,,,,,,,,,,,,,,,,,
Inflammatory polyarthritis,4,,,,,,,,,,,,,,,,,,
Mental Health: Chronic anxiety,4,,,,,,,,,,,,,,,,,,
Coag and Thromboembolic: Thrombophlebitis,4,,,,,,,,,,,,,,,,,,
Eye: Mild nonproliferative diabetic retinopathy associated with type 2 diabetes mellitus,4,2,Obesity,substring,,,,,,,,,,,,,,,
Spondylolisthesis at L4-L5 level,4,4,COPD,substring,,,,,,,,,,,,,,,
Preprocedural cardiovascular examination,4,,,,,,,,,,,,,,,,,,
Hormone replacement therapy,4,,,,,,,,,,,,,,,,,,
Cardiac and Vasculature: Atrioventricular block,4,,,,,,,,,,,,,,,,,,
Other abnormal and inconclusive findings on diagnostic imaging of breast,4,,,,,,,,,,,,,,,,,,
Blurring of visual image,4,,,,,,,,,,,,,,,,,,
Other: Body mass index (BMI) 19.9 or less,4,1,Hypertension or Pre Hypertensive,substring,9,CHF (Congestive Heart Failure),substring,19,Hypotension,substring,,,,,,,,,
Peripheral edema,4,,,,,,,,,,,,,,,,,,
Unspecified diastolic (congestive) heart failure,4,,,,,,,,,,,,,,,,,,
Malignant tumor of breast,4,,,,,,,,,,,,,,,,,,
Mitral valve replaced,4,,,,,,,,,,,,,,,,,,
Hematology and Neoplasia: Renal cell carcinoma,4,,,,,,,,,,,,,,,,,,
Mental Health: Chronic,4,,,,,,,,,,,,,,,,,,
Symptoms and Signs: Falls frequently,4,,,,,,,,,,,,,,,,,,
Chronic pulmonary embolism,4,,,,,,,,,,,,,,,,,,
Mental Health: Attention deficit hyperactivity disorder,4,,,,,,,,,,,,,,,,,,
Hematology and Neoplasia: Esophageal cancer,4,,,,,,,,,,,,,,,,,,
Type 2 diabetes mellitus with peripheral angiopathy,4,2,Obesity,substring,,,,,,,,,,,,,,,
unipolar,4,,,,,,,,,,,,,,,,,,
Accident due to mechanical fall without injury,4,,,,,,,,,,,,,,,,,,
Shoulder impingement,4,,,,,,,,,,,,,,,,,,
